Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1gihuPhrLraKYrJMAEONyc,"Feel So Close - Radio Edit","18 Months","Calvin Harris",2012-10-29,206413,88,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:20:44Z,"edm","Columbia",0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,4
spotify:track:0IKK48xF4eEdfofyaeKWWO,"PILLOWTALK","PILLOWTALK","ZAYN",2016-01-29,203686,65,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:21:36Z,"","RCA Records Label",0.588,0.702,11,-4.271,1,0.0496,0.104,0,0.089,0.429,124.909,4
spotify:track:6eR4fxIDF9G5Kj0zyQia7U,"Polaroids and Dirty Dances","Polaroids and Dirty Dances","Juicy M;HIDDN;KEPLER",2017-12-01,171124,0,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:21:58Z,"","Trap City",0.577,0.892,5,-4.737,1,0.0493,0.0833,0,0.438,0.354,139.933,4
spotify:track:3gbBpTdY8lnQwqxNCcf795,"Pompeii","Bad Blood","Bastille",2013-01-01,214147,75,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:22:02Z,"","EMI (Virgin)",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
spotify:track:7CBXOtoApJdYHBQo1tkXYy,"PQTNV","PQTNV","Konai;Kweller",2018-01-19,169900,36,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:22:12Z,"hip hop brasileiro,trap brasileiro","Dmusic",0.699,0.306,5,-13.506,0,0.0355,0.401,0.0931,0.143,0.191,105.098,4
spotify:track:2ciZnhgYv1RlR4PlV4ZOa1,"Qq6q","Qq6q","Kweller",2018-04-01,126249,12,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:22:22Z,"trap brasileiro,hip hop brasileiro","Kweller",0.836,0.455,9,-15.429,0,0.0761,0.141,0.000313,0.0998,0.518,137.038,4
spotify:track:21nFIDqoD1L7ELsprVSzOR,"Rack City","Careless World: Rise Of The Last King","Tyga",2012-01-01,203200,1,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:22:29Z,"","Cash Money Records/Motown Records",0.929,0.339,1,-10.881,1,0.371,0.0373,0.0000196,0.187,0.273,98.986,4
spotify:track:3zWt9okKsOFDjMl8tku0cA,"Rap É Compromisso","Rap É Compromisso (Edição Comemorativa)","Sabotage;Negra Li",2014-11-20,263986,0,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:22:34Z,"hip hop brasileiro,boom bap,pop nacional","Sabotage",0.869,0.712,2,-8.383,1,0.365,0.204,0,0.291,0.817,87.216,4
spotify:track:0pn8eHCvZsBAF9Y9wfv4rt,"Really Got It","Never How You Plan","JERREAU",2016-04-08,187601,49,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:22:46Z,"","The Greater Than Club",0.714,0.967,11,-4.757,0,0.442,0.294,0,0.744,0.7,148.527,4
spotify:track:10I3CmmwT0BkOVhduDy53o,"Really Really","Islah (Deluxe)","Kevin Gates",2016-01-29,232093,74,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:22:50Z,"","Bread Winners' Association/Atlantic",0.762,0.666,0,-6.055,1,0.0916,0.00427,0,0.127,0.278,118.97,4
