Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1dPNJDYuW9QAtkOpK3eBvO,"God Breathed","Donda","Kanye West",2021-08-29,333461,0,false,8jtopaclkzi6fkcxvnzy3t27q,2024-03-29T19:31:03Z,"rap","Rock The World/IDJ/Kanye LP7",0.325,0.311,10,-7.481,1,0.0442,0.289,0.0000674,0.11,0.0789,92.744,3
spotify:track:79kpDaVsQQUKRKYaLVsBbK,"Cyberpunk","Cyberpunk","Yunk Vino;Labbel Rec;Neckklace",2024-02-16,112131,51,true,8jtopaclkzi6fkcxvnzy3t27q,2024-03-31T03:27:12Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Labbel Rec",0.88,0.372,5,-8.361,0,0.0573,0.194,0.0000434,0.115,0.581,121.993,4
spotify:track:0kK6j1onhzCMITqSv84GGA,"T4Pa na Bebê - Bala Batendo, Mó Paz","2 L3Trinha","LH CHUCRO;prodmelo!",2023-12-01,142168,38,true,8jtopaclkzi6fkcxvnzy3t27q,2024-04-13T18:48:53Z,"trap brasileiro,trap","LH CHUCRO",0.603,0.711,0,-6.222,1,0.11,0.398,0.00151,0.107,0.591,121.033,4
spotify:track:0RomJafeaVowNi4lAV2X88,"Bem e Mal","ERREJOTACULTDRILL, Vol. 1 - Mal Vindas Amizades","Big Bllakk;Pedro Apoema;$amuka",2021-08-13,140146,32,true,8jtopaclkzi6fkcxvnzy3t27q,2024-04-16T11:12:24Z,"boom bap,grime,hip hop brasileiro,drill,trap brasileiro","FIGA DIGITAL",0.646,0.623,3,-8.427,0,0.423,0.233,0.00000178,0.119,0.539,136.594,4
spotify:track:4Ncho3XbOcECAtvYeu7Ic4,"Frio Madrugada","ERREJOTACULTDRILL, Vol. 1 - Mal Vindas Amizades","Big Bllakk;Pedro Apoema",2021-08-13,141398,34,true,8jtopaclkzi6fkcxvnzy3t27q,2024-04-16T11:12:16Z,"boom bap,grime,hip hop brasileiro,drill,trap brasileiro","FIGA DIGITAL",0.526,0.738,6,-9.136,1,0.308,0.146,0.00000212,0.116,0.631,94.357,5
spotify:track:7aX8eaNCw5mBaRXAJ8aUqY,"Lebron James","ERREJOTACULTDRILL, Vol. 1 - Mal Vindas Amizades","Big Bllakk;Pedro Apoema",2021-08-13,149787,30,true,8jtopaclkzi6fkcxvnzy3t27q,2024-04-16T11:12:30Z,"boom bap,grime,hip hop brasileiro,drill,trap brasileiro","FIGA DIGITAL",0.695,0.668,8,-8.088,1,0.336,0.00941,0,0.116,0.568,140.971,4
spotify:track:0f4hE3mHjTeN3cqa2k7h9o,"Final do Baile","ERREJOTACULTDRILL, Vol. 1 - Mal Vindas Amizades","Big Bllakk;MG CDD;Erick Di",2021-08-13,140571,34,true,8jtopaclkzi6fkcxvnzy3t27q,2024-04-16T11:22:32Z,"boom bap,grime,hip hop brasileiro,drill,trap brasileiro","FIGA DIGITAL",0.464,0.725,11,-7.534,0,0.287,0.164,0,0.68,0.612,140.667,3
spotify:track:2QlQbnVEQqXQWGJc3tJYDf,"DO ZERO","MAGIC SHOW","Nagalli;Tz da Coronel;Yunk Vino;Supernova Ent",2024-04-25,158608,37,true,8jtopaclkzi6fkcxvnzy3t27q,2024-04-26T01:52:39Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Supernova Ent",0.839,0.461,1,-5.838,0,0.0772,0.161,0,0.118,0.312,114.973,4
spotify:track:4OMSfAavn8k6HxZ0HwVtV1,"CONFISSÕES PT1","MAGIC SHOW","Nagalli;Menor MC;Dfideliz;CJota;Leviano;Supernova Ent",2024-04-25,213357,68,true,8jtopaclkzi6fkcxvnzy3t27q,2024-04-26T01:59:56Z,"trap brasileiro,trap,trap funk,hip hop brasileiro,funk","Supernova Ent",0.681,0.53,4,-8.103,0,0.375,0.599,0,0.451,0.421,125.874,4
spotify:track:0aff1PeFidGg14bcm0mqlt,"MAL INTENCIONADA (JÁ FOI, JÁ ERA)","MAGIC SHOW","Nagalli;Borges;Kyan;Vulgo FK;Veigh;Supernova Ent",2024-04-25,228571,55,true,8jtopaclkzi6fkcxvnzy3t27q,2024-04-26T02:06:10Z,"trap brasileiro,trap,trap funk,hip hop brasileiro,funk","Supernova Ent",0.785,0.557,1,-7.536,0,0.223,0.259,0,0.109,0.439,126.037,4
